,Model,Year,KM,Sell_Price,IsaPro?,Number,Mean_Price_Argus,Exceed_Mean_Price,lat,long
126,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2013.0,41573,14990,Pro,0486877981,16000.0,False,43.94700419999999,4.8209596
128,Renault Captur ESSENCE 0.9 TCE 90 ENERGY S&S INTENS ECO2,2014.0,1674,16990,Pro,0608929780,15500.0,True,43.4212739,5.218332
129,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,20500,16990,Pro,0422170093,16100.0,True,43.663739,7.14882
130,Renault Captur ESSENCE 0.9 TCE 90 ENERGY S&S INTENS ECO2,2013.0,24060,15900,Pro,0442949596,15500.0,True,43.4525982,5.4717363
131,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,24600,15790,Pro,0625982919,16100.0,False,43.9591489,4.863830999999999
132,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,21174,15900,Pro,0612103931,16100.0,False,44.1380989,4.807511
133,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2013.0,19485,16800,Pro,0422170107,16100.0,True,43.5603151,7.0337141
134,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2013.0,29757,15490,Pro,0442952895,16000.0,False,43.5388336,5.4044268
135,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,18625,16990,Pro,0.0,16100.0,True,43.5990157,7.103639599999999
136,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S INTENS ECO2,2013.0,19372,17490,Pro,0494370125,17700.0,False,43.40655,6.061186999999999
137,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2013.0,3795,17400,Pro,0490351460,16000.0,True,44.383724,4.989187
138,Renault Captur DIESEL 1.5 DCI 90 ENERGY S&S ZEN ECO2,2013.0,10000,17000,0,0.0,16000.0,True,43.5388336,5.4044268
139,Renault Captur DIESEL INTENS,2013.0,28000,17500,0,0.0,17600.0,False,43.550669,5.034508
